facility_state,facility_county,nyt_id,facility_name,facility_type,latest_inmate_population,max_inmate_population_2020,total_inmate_cases,total_inmate_deaths,total_officer_cases,total_officer_deaths
California,Humboldt,E911646B,Humboldt County jail,Jail,,,8,0,6,0.0
California,Imperial,BFDC381F,Imperial County jail,Jail,206.0,,54,0,65,0.0
California,Kern,B961A39E,Kern County jail,Jail,1820.0,,208,0,142,0.0
California,Los Angeles,AFEBC9D3,Nidorf Juvenile Hall,Jail,,,67,0,76,0.0
California,Los Angeles,50579201,Central Juvenile Hall,Jail,,,107,0,51,0.0
California,Los Angeles,DAF2EA1F,Century Regional Detention Facility,Jail,,,256,1,75,0.0
California,Los Angeles,1B335BEA,Men's Central Jail,Jail,,,827,9,204,0.0
California,Los Angeles,6B866F6C,North County jail,Jail,,,1443,1,121,0.0
California,Los Angeles,11D3E7F1,Pitchess Detention Center,Jail,,,539,2,114,0.0
California,Los Angeles,AEF17928,Twin Towers jail,Jail,,,950,6,352,0.0
California,Mendocino,96019454,Mendocino County Jail,Jail,,,132,1,15,0.0
California,Merced,12BE4116,Merced County jails,Jail,,,64,0,19,0.0
California,Monterey,4DF675F2,Monterey County Jail,Jail,909.0,,368,0,0,0.0
California,Orange,8AFA78D2,Orange County jails,Jail,,,2314,1,330,0.0
California,Placer,6C4ADD02,Placer County jails,Jail,,,78,0,30,0.0
California,Plumas,C3CB2EF7,Plumas County Correctional Facility,Jail,,,28,0,16,0.0
California,Riverside,8089B495,Riverside County jails,Jail,3364.0,,934,2,422,1.0
California,Sacramento,E6D357E6,Sacramento County jails,Jail,3373.0,,1795,0,166,0.0
California,San Bernardino,4CA91CDA,San Bernardino County jails,Jail,5137.0,,990,0,0,0.0
California,San Diego,9B92971F,San Diego County Jail,Jail,921.0,,336,0,0,0.0
California,San Diego,CC01B87E,George Bailey Jail,Jail,1391.0,,443,1,0,0.0
California,San Diego,92CDD34F,Vista Detention Facility,Jail,644.0,,172,0,0,0.0
California,San Diego,9B7934C3,South Bay Detention Facility,Jail,380.0,,108,0,0,0.0
California,San Diego,939106A8,Facility 8 Detention Facility,Jail,113.0,,1,0,0,0.0
California,San Diego,A1CF71C1,East Mesa Reentry Facility,Jail,285.0,,121,0,0,0.0
California,San Diego,A6A73E32,Las Colinas Detention and Re-Entry Facility,Jail,432.0,,82,0,0,0.0
California,San Francisco,2281353C,San Francisco County jail,Jail,770.0,,136,0,73,0.0
California,San Joaquin,2422606F,San Joaquin County Jail,Jail,1406.0,,202,0,11,0.0
California,San Luis Obispo,93D515D2,San Luis Obispo County Jail,Jail,428.0,,95,0,31,0.0
California,Santa Barbara,96236397,Santa Barbara County jail,Jail,,,215,1,118,0.0
California,Santa Clara,068836FC,Santa Clara County Jails,Jail,2334.0,,590,0,235,0.0
California,Santa Cruz,23B5A929,Santa Cruz County jail,Jail,315.0,,29,0,24,0.0
California,Siskiyou,D808C34E,Siskiyou County Jail,Jail,,,2,0,2,0.0
California,Sonoma,9786F0A9,Sonoma County jail,Jail,,,162,0,22,0.0
California,Stanislaus,D540B2FD,Stanislaus County Jail,Jail,,,183,0,101,0.0
California,Tulare,DA17A690,Tulare County jail,Jail,,,198,0,71,0.0
California,Tuolumne,61B716C3,Tuolumne County jails,Jail,,,11,0,8,0.0
California,Ventura,F1DFA14A,Ventura County jails,Jail,,,240,0,4,0.0
Colorado,Adams,13CF87C2,Adams County jail,Jail,,,167,0,3,0.0
Colorado,Boulder,7646CBB3,Boulder County Jail,Jail,251.0,,62,0,13,0.0
Colorado,Broomfield,AB34CA5C,Broomfield Detention Center,Jail,,,20,0,7,0.0
Colorado,Adams,180EEF52,Commerce Transitional Center,Jail,,,3,0,1,0.0
Colorado,Denver,B2F30469,Adams Transitional Center jail,Jail,,,29,0,7,0.0
Colorado,Denver,8FA0E43F,Denver County jail,Jail,262.0,,142,0,20,0.0
Colorado,Denver,74381749,Van Cise-Simonet Detention Center,Jail,921.0,,1095,0,86,0.0
